sector,poor_percent,avg_deprivation_intensity,poverty_index,district
Nyagatare,0.28,0.431,0.121,Nyagatare
Rukomo,0.302,0.402,0.121,Nyagatare
Rwempasha,0.373,0.456,0.17,Nyagatare
Rwimiyaga,0.42,0.46,0.193,Nyagatare
Tabagwe,0.381,0.444,0.169,Nyagatare
Gasange,0.444,0.451,0.2,Gatsibo
Gatsibo,0.307,0.427,0.131,Gatsibo
Gitoki,0.37,0.425,0.157,Gatsibo
Kabarore,0.343,0.438,0.15,Gatsibo
Kageyo,0.425,0.435,0.184,Gatsibo
Kiramuruzi,0.357,0.442,0.158,Gatsibo
Kiziguro,0.313,0.43,0.135,Gatsibo
Muhura,0.401,0.436,0.175,Gatsibo
Murambi,0.375,0.424,0.159,Gatsibo
Ngarama,0.401,0.44,0.176,Gatsibo
Nyagihanga,0.426,0.421,0.179,Gatsibo
Remera,0.414,0.432,0.179,Gatsibo
Rugarama,0.362,0.431,0.156,Gatsibo
Rwimbogo,0.396,0.442,0.175,Gatsibo
Gahini,0.381,0.438,0.167,Kayonza
Kabare,0.415,0.428,0.177,Kayonza
Kabarondo,0.29,0.427,0.124,Kayonza
Mukarange,0.216,0.424,0.091,Kayonza
Murama,0.317,0.406,0.129,Kayonza
Murundi,0.451,0.445,0.201,Kayonza
Mwiri,0.378,0.43,0.162,Kayonza
Ndego,0.425,0.441,0.187,Kayonza
Nyamirama,0.337,0.424,0.143,Kayonza
Rukara,0.289,0.427,0.123,Kayonza
Ruramira,0.435,0.428,0.186,Kayonza
Rwinkwavu,0.364,0.426,0.155,Kayonza
Gahara,0.449,0.415,0.186,Kirehe
Gatore,0.344,0.426,0.146,Kirehe
Kigarama,0.41,0.415,0.17,Kirehe
Kigina,0.31,0.425,0.132,Kirehe
Kirehe,0.271,0.42,0.114,Kirehe
Mahama,0.237,0.374,0.089,Kirehe
Mpanga,0.407,0.421,0.171,Kirehe
Musaza,0.383,0.417,0.159,Kirehe
Mushikiri,0.342,0.416,0.142,Kirehe
Nasho,0.342,0.417,0.143,Kirehe
Nyamugari,0.398,0.434,0.173,Kirehe
Nyarubuye,0.38,0.426,0.162,Kirehe
Gashanda,0.371,0.415,0.154,Ngoma
Jarama,0.524,0.463,0.242,Ngoma
Karembo,0.364,0.428,0.156,Ngoma
Kazo,0.358,0.431,0.155,Ngoma
Kibungo,0.199,0.401,0.08,Ngoma
Mugesera,0.385,0.429,0.165,Ngoma
Murama,0.312,0.41,0.128,Ngoma
Mutenderi,0.337,0.415,0.14,Ngoma
Remera,0.319,0.424,0.135,Ngoma
Rukira,0.283,0.401,0.114,Ngoma
Rukumberi,0.515,0.477,0.246,Ngoma
Rurenge,0.367,0.418,0.153,Ngoma
Sake,0.439,0.448,0.197,Ngoma
Zaza,0.372,0.437,0.162,Ngoma
Gashora,0.27,0.431,0.117,Bugesera
Juru,0.412,0.447,0.184,Bugesera
Kamabuye,0.417,0.452,0.188,Bugesera
Mareba,0.484,0.446,0.216,Bugesera
Mayange,0.186,0.407,0.076,Bugesera
Musenyi,0.435,0.441,0.192,Bugesera
Mwogo,0.424,0.455,0.193,Bugesera
Ngeruka,0.485,0.452,0.219,Bugesera
Ntarama,0.279,0.46,0.128,Bugesera
Nyamata,0.164,0.426,0.07,Bugesera
Nyarugenge,0.44,0.445,0.196,Bugesera
Rilima,0.209,0.414,0.087,Bugesera
Ruhuha,0.343,0.433,0.149,Bugesera
Rweru,0.447,0.464,0.207,Bugesera
Shyara,0.505,0.456,0.231,Bugesera
