Name,Dist_ID,District,Prov_ID,Province,Sect_ID,NO2_mean,CO_mean,SO2_mean,O3_mean
Cyahinda,23,Nyaruguru,2,Southern Province,2302,4.124722525915299e-05,0.029970661793282786,1.9136330856702645e-05,0.11852576745922555
Kibeho,23,Nyaruguru,2,Southern Province,2303,4.1077217182945835e-05,0.02959855575067921,2.4112560437011203e-05,0.11856909846212725
Kivu,23,Nyaruguru,2,Southern Province,2304,3.9940956450245685e-05,0.027118807645947377,3.0094014817101072e-06,0.1183539620451363
Mata,23,Nyaruguru,2,Southern Province,2305,4.130286442915778e-05,0.02934690274603607,-5.0643412860097985e-06,0.1185825761370755
Muganza,23,Nyaruguru,2,Southern Province,2306,4.033661928240783e-05,0.02756855510766057,-7.548344253705883e-06,0.11837873997509095
Munini,23,Nyaruguru,2,Southern Province,2307,4.110058524240083e-05,0.02944409824275897,1.1134953031365966e-06,0.11850789194158448
Ngera,23,Nyaruguru,2,Southern Province,2308,4.1756099312337384e-05,0.030845513124550063,1.7726974157210616e-05,0.11860187072093321
Ngoma,23,Nyaruguru,2,Southern Province,2309,4.226611131511894e-05,0.03080534936248029,2.8820622765536377e-05,0.11861484818139746
Nyabimata,23,Nyaruguru,2,Southern Province,2310,4.06400979943851e-05,0.02714060069642538,2.187153989123487e-06,0.11838146026239933
Nyagisozi,23,Nyaruguru,2,Southern Province,2311,4.117451672360859e-05,0.03033449205726118,9.642954935869407e-06,0.11857932679909611
Ruheru,23,Nyaruguru,2,Southern Province,2312,4.097015354439064e-05,0.027655479710270936,3.045287722855654e-06,0.11846922953552373
Ruramba,23,Nyaruguru,2,Southern Province,2313,4.1209374470789045e-05,0.028707988148683874,-1.265389398214256e-06,0.11855329005222419
Rusenge,23,Nyaruguru,2,Southern Province,2314,4.1175537217104845e-05,0.030210546052971163,5.89812379773584e-06,0.11856730318361997
Gishamvu,24,Huye,2,Southern Province,2401,4.1874181027095704e-05,0.030364031190841963,1.5051414578595294e-05,0.11867547079015915
Huye,24,Huye,2,Southern Province,2402,4.292708182377365e-05,0.03015949998446598,6.18524097853312e-05,0.11866744855576229
Karama,24,Huye,2,Southern Province,2403,4.170547760194256e-05,0.02981828701009505,7.655293937812425e-06,0.11867435705066756
Kigoma,24,Huye,2,Southern Province,2404,4.181987117079578e-05,0.030413729461179227,-2.526537498530549e-05,0.11861072986545247
Kinazi,24,Huye,2,Southern Province,2405,4.250636025417937e-05,0.03108409933571413,1.2080998168781762e-05,0.11860523766339104
Maraba,24,Huye,2,Southern Province,2406,4.258446715775513e-05,0.029833324365963292,1.433010584446799e-05,0.11863693446023765
Mbazi,24,Huye,2,Southern Province,2407,4.256770275348172e-05,0.030367604209576494,3.2377716211876175e-05,0.1186583125001251
Mukura,24,Huye,2,Southern Province,2408,4.197968588597629e-05,0.030726192687224194,4.466689928706852e-06,0.11865159352586219
Ngoma,24,Huye,2,Southern Province,2409,4.3208033937373396e-05,0.03035987330858068,3.065464117142769e-05,0.11868753087922905
Ruhashya,24,Huye,2,Southern Province,2410,4.208427342254585e-05,0.030611261231510818,3.0562652241876316e-05,0.11864530451069322
Rusatira,24,Huye,2,Southern Province,2411,4.2526162539344864e-05,0.031039592728458413,3.4925293040125824e-05,0.11859848218175517
Rwaniro,24,Huye,2,Southern Province,2412,4.214302774329873e-05,0.030958316213641354,-1.2567299619269384e-05,0.11855079051714633
Simbi,24,Huye,2,Southern Province,2413,4.243011827341542e-05,0.030429923091798174,-1.908259667582391e-05,0.11864575712226048
Tumba,24,Huye,2,Southern Province,2414,4.257203165233927e-05,0.030532784668800408,3.300358960304614e-05,0.11867184379400783
Buruhukiro,25,Nyamagabe,2,Southern Province,2501,3.972195549239875e-05,0.026600810042314245,2.162116548379288e-05,0.11837100734597222
Cyanika,25,Nyamagabe,2,Southern Province,2502,4.180331033706739e-05,0.030152462236188643,-1.031279969159121e-05,0.11864889983490942
Gasaka,25,Nyamagabe,2,Southern Province,2503,4.138636464351842e-05,0.029588301397563348,-2.825009792403325e-05,0.1186332291621873
Gatare,25,Nyamagabe,2,Southern Province,2504,4.023037721360207e-05,0.027064694860527178,2.722986160220635e-05,0.11838888068201331
Kaduha,25,Nyamagabe,2,Southern Province,2505,4.229176911013453e-05,0.029569899982145372,-4.651459619648529e-06,0.11859452129657898
Kamegeri,25,Nyamagabe,2,Southern Province,2506,4.235957458757046e-05,0.02944733108867754,2.0488471335628853e-05,0.11862058077749144
Kibirizi,25,Nyamagabe,2,Southern Province,2507,4.165790871433615e-05,0.02901317680892848,-9.463332551204063e-06,0.11859712116744041
