system:index,NO2_column_number_density,month,sector,year,.geo
0_0000000000000000005f,3.71E-05,1,Mbazi,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000060,3.82E-05,1,Mugano,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000061,3.91E-05,1,Musange,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000062,3.46E-05,1,Musebeya,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000063,3.60E-05,1,Mushubi,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000064,3.66E-05,1,Nkomane,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000065,3.57E-05,1,Tare,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000066,3.38E-05,1,Uwinkingi,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000067,3.79E-05,1,Bweramana,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000068,3.91E-05,1,Byimana,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000069,3.84E-05,1,Kabagali,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000006a,3.89E-05,1,Kinazi,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000006b,3.80E-05,1,Kinihira,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000006c,3.84E-05,1,Mbuye,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000006d,3.90E-05,1,Mwendo,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000006e,3.85E-05,1,Ntongwe,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000006f,3.87E-05,1,Ruhango,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000070,3.68E-05,1,Cyeza,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000071,3.58E-05,1,Kabacuzi,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000072,3.34E-05,1,Kibangu,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000073,3.47E-05,1,Kiyumba,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000074,3.66E-05,1,Muhanga,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000075,3.65E-05,1,Mushishiro,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000076,3.58E-05,1,Nyabinoni,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000077,3.77E-05,1,Nyamabuye,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000078,3.79E-05,1,Nyarusange,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000079,3.63E-05,1,Rongi,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000007a,3.45E-05,1,Rugendabari,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
