Dist_ID,District,Name,Prov_ID,Province,Sect_ID,NO2_mean,year,month,date,CO_mean,SO2_mean,O3_mean,AER_mean,CH4_mean
36,Rusizi,Muganza,3,Western Province,3610,5.933190796124152e-05,2023,8,2023-08,0.046668616860871155,1.926172179943664e-05,0.12188920388566958,-0.4031149906762759,
36,Rusizi,Muganza,3,Western Province,3610,4.360197553774024e-05,2023,9,2023-09,0.0381275155405073,-9.780076343262783e-05,0.12112312094025969,-0.7198130206776575,
36,Rusizi,Muganza,3,Western Province,3610,4.24163062237755e-05,2023,10,2023-10,0.03168284447443287,7.083328985094558e-05,0.11876860612675644,-0.5815619156953721,
36,Rusizi,Muganza,3,Western Province,3610,3.723547721460486e-05,2023,11,2023-11,0.029534124162646943,-0.00031760010736062014,0.11415220896894271,-0.778795524206317,
36,Rusizi,Muganza,3,Western Province,3610,4.056117569726397e-05,2023,12,2023-12,0.033846968593310996,-1.643858974781109e-05,0.11215356882494999,-1.0342254882327429,
36,Rusizi,Muganza,3,Western Province,3610,3.944622612388243e-05,2024,1,2024-01,0.04855090730913646,0.0002973575586583053,0.10920290269560756,-0.8828939453454149,
36,Rusizi,Muganza,3,Western Province,3610,3.987213025527485e-05,2024,2,2024-02,0.03705158519577018,-9.990832541751991e-05,0.10993049213004553,-0.7145163685140843,
36,Rusizi,Muganza,3,Western Province,3610,3.9118068042681136e-05,2024,3,2024-03,0.03216341779906592,4.7454945954922964e-05,0.11195694035327748,-0.7181811251467277,
36,Rusizi,Muganza,3,Western Province,3610,3.8699502398045424e-05,2024,4,2024-04,0.02618165442682063,0.0003844776940457387,0.11347506339049462,-0.7874295501955076,
36,Rusizi,Muganza,3,Western Province,3610,3.835742785857872e-05,2024,5,2024-05,0.031048275216955502,6.307429096056308e-05,0.116771701850942,-0.8755012600923754,
36,Rusizi,Muganza,3,Western Province,3610,5.0125325250414775e-05,2024,6,2024-06,0.037481172908508796,1.356208005187148e-05,0.12186443838534101,-0.6911908124455444,
36,Rusizi,Muganza,3,Western Province,3610,5.60434541212717e-05,2024,7,2024-07,0.04907269139940544,0.00022404287917612037,0.1226082850454846,-0.5222915163440633,
36,Rusizi,Muganza,3,Western Province,3610,5.3009876281934025e-05,2024,8,2024-08,0.05241848902832015,8.584207402189318e-05,0.12271071773741077,-0.48636901510083846,
36,Rusizi,Muganza,3,Western Province,3610,5.2663453023047956e-05,2024,9,2024-09,0.047090815256742635,0.00011726175193401663,0.12656139150376564,-0.4431633443808528,
36,Rusizi,Muganza,3,Western Province,3610,4.2114168969101186e-05,2024,10,2024-10,0.04147367518216821,0.00019970432836959108,0.12413456234570173,-0.7048130520713655,
36,Rusizi,Muganza,3,Western Province,3610,3.597125843153118e-05,2024,11,2024-11,0.03244853124034143,0.00014305262448616207,0.12214053236939401,-0.8350329016900747,
36,Rusizi,Muganza,3,Western Province,3610,3.8783653002297395e-05,2024,12,2024-12,0.03347288539986912,0.00011769032026654995,0.1187170213021209,-0.8760227927830151,
36,Rusizi,Muganza,3,Western Province,3610,3.343143052184538e-05,2025,1,2025-01,0.03862588956686811,0.0003166231113929719,0.1179114492182112,-0.6748585127636118,
36,Rusizi,Mururu,3,Western Province,3611,3.4310276000567854e-05,2020,1,2020-01,0.03697798332380861,9.97925205167785e-05,0.11098597611418703,-1.2199524217302455,
36,Rusizi,Mururu,3,Western Province,3611,3.5350167674194345e-05,2020,2,2020-02,0.03311304095912899,-5.0258547916637895e-05,0.11386718138955876,-1.290407824200193,
36,Rusizi,Mururu,3,Western Province,3611,3.449454397769618e-05,2020,3,2020-03,0.033383896173309426,0.0002959649481563848,0.11683912599970907,-1.3714615522870708,
36,Rusizi,Mururu,3,Western Province,3611,3.542089682171764e-05,2020,4,2020-04,0.026638785929100184,8.527220038648953e-05,0.11631472230868654,-1.403980464002909,
36,Rusizi,Mururu,3,Western Province,3611,3.994297529289763e-05,2020,5,2020-05,0.027573215471804222,8.429655060186322e-05,0.11410225025491139,-1.3874550400092978,
36,Rusizi,Mururu,3,Western Province,3611,4.589079860609096e-05,2020,6,2020-06,0.033792886737873645,0.00019189726548277515,0.1167989638039639,-1.8016552194621895,
36,Rusizi,Mururu,3,Western Province,3611,4.745987471667366e-05,2020,7,2020-07,0.03653292404610852,0.00027719186630124654,0.11801116945645916,-1.959185672342446,
36,Rusizi,Mururu,3,Western Province,3611,4.8940122283434994e-05,2020,8,2020-08,0.041668094874230094,4.348695158997224e-05,0.11993257928086425,-1.8391092330691867,
36,Rusizi,Mururu,3,Western Province,3611,4.188478159372001e-05,2020,9,2020-09,0.03913450246101697,9.632023343139001e-05,0.12071845105910058,-1.411425757636903,
36,Rusizi,Mururu,3,Western Province,3611,4.003732235055838e-05,2020,10,2020-10,0.03732895845233234,0.0001909186311802943,0.12264693961428356,-1.2694805500041515,
36,Rusizi,Mururu,3,Western Province,3611,4.2666326733469654e-05,2020,11,2020-11,0.032031801989959086,9.4028904863441e-05,0.11900383739925116,-1.654202840368979,
36,Rusizi,Mururu,3,Western Province,3611,4.2574096493816886e-05,2020,12,2020-12,0.03211386009989164,-1.0460324995719738e-05,0.11498690359515183,-1.7433592368856972,
36,Rusizi,Mururu,3,Western Province,3611,3.5158164550053384e-05,2021,1,2021-01,0.03348753607394524,0.00020174393417317563,0.11215300515948574,-1.362951715916111,
36,Rusizi,Mururu,3,Western Province,3611,3.5220994050849506e-05,2021,2,2021-02,0.04170544776264139,2.571185027553075e-05,0.11706515979989326,-1.4772040081369056,
36,Rusizi,Mururu,3,Western Province,3611,3.4834776929063584e-05,2021,3,2021-03,0.030686767478316865,-1.8789475631345814e-05,0.11904706330625599,-1.3641762245492297,
36,Rusizi,Mururu,3,Western Province,3611,3.5420408069155875e-05,2021,4,2021-04,0.02719686100356028,-0.00013628990005000772,0.11861329352162636,-1.4809718758707293,
36,Rusizi,Mururu,3,Western Province,3611,4.023387434570332e-05,2021,5,2021-05,0.02794498148994644,0.00018086768188255086,0.11565160109078051,-1.9846015645489927,
