Prov_ID,Province,Dist_ID,District,Sect_ID,Name,join_key,sector,non_poor,vulnerable,moderately_poor,severely_poor,total,count,district,poverty_rate,poverty_score,poor_population,severely_poor_population
2.0,Southern Province,23.0,Nyaruguru,2301.0,Busanze,busanze,Busanze,32.0,26.6,31.8,9.6,100,26955,Nyaruguru,41.4,19.833333333333332,11159.37,2587.68
2.0,Southern Province,23.0,Nyaruguru,2302.0,Cyahinda,cyahinda,Cyahinda,39.8,25.7,28.1,6.5,100,21972,Nyaruguru,34.6,16.900000000000002,7602.312000000001,1428.18
2.0,Southern Province,23.0,Nyaruguru,2303.0,Kibeho,kibeho,Kibeho,46.4,23.3,23.8,6.5,100,25307,Nyaruguru,30.3,15.066666666666665,7668.021,1644.955
2.0,Southern Province,23.0,Nyaruguru,2304.0,Kivu,kivu,Kivu,37.1,24.6,31.0,7.3,100,17606,Nyaruguru,38.3,18.083333333333332,6743.097999999999,1285.238
2.0,Southern Province,23.0,Nyaruguru,2305.0,Mata,mata,Mata,43.4,28.1,23.3,5.2,100,15687,Nyaruguru,28.5,15.050000000000002,4470.795,815.724
2.0,Southern Province,23.0,Nyaruguru,2306.0,Muganza,muganza,Muganza,29.8,21.4,34.8,14.0,100,36715,Gisagara,48.8,22.166666666666668,17916.92,5140.1
2.0,Southern Province,23.0,Nyaruguru,2306.0,Muganza,muganza,Muganza,35.9,23.4,33.3,7.4,100,19277,Nyaruguru,40.699999999999996,18.7,7845.738999999999,1426.4980000000003
2.0,Southern Province,23.0,Nyaruguru,2306.0,Muganza,muganza,Muganza,48.4,18.3,25.4,8.0,100,29446,Rusizi,33.4,15.516666666666666,9834.964,2355.68
2.0,Southern Province,23.0,Nyaruguru,2307.0,Munini,munini,Munini,37.5,29.2,27.5,5.8,100,17990,Nyaruguru,33.3,16.933333333333334,5990.67,1043.42
2.0,Southern Province,23.0,Nyaruguru,2308.0,Ngera,ngera,Ngera,35.9,23.0,33.0,8.1,100,24004,Nyaruguru,41.1,18.883333333333333,9865.644,1944.3239999999998
2.0,Southern Province,23.0,Nyaruguru,2309.0,Ngoma,ngoma,Ngoma,44.2,19.3,30.5,6.0,100,23800,Nyaruguru,36.5,16.383333333333333,8687.0,1428.0
