sector,non_poor,vulnerable,moderately_poor,severely_poor,total,count,district,poor_percent,avg_deprivation_intensity,poverty_index
  Uwinkingi,27.5,30.7,33.7,8.1,100,25171,Nyamagabe,0.418,0.428,0.179
  Bweramana,41.2,25.7,25.7,7.4,100,33764,Ruhango,0.331,0.427,0.141
  Byimana,51.8,23.9,20.2,4.2,100,42413,Ruhango,0.243,0.411,0.1
  Kabagali,34.1,27.9,30.5,7.5,100,27203,Ruhango,0.38,0.419,0.159
  Kinazi,31.7,23.8,31.2,13.4,100,52274,Ruhango,0.445,0.45,0.2
  Kinihira,32.7,31.4,28.4,7.5,100,27966,Ruhango,0.359,0.427,0.154
  Mbuye,31.6,25.0,31.0,12.4,100,47148,Ruhango,0.434,0.447,0.194
  Mwendo,40.8,27.1,27.5,4.6,100,26967,Ruhango,0.322,0.407,0.131
  Ntongwe,28.8,25.6,33.0,12.6,100,38339,Ruhango,0.456,0.446,0.203
  Ruhango,47.6,22.8,23.0,6.7,100,81828,Ruhango,0.297,0.427,0.127
  Cyeza,51.3,23.5,22.3,2.9,100,35812,Muhanga,0.252,0.397,0.1
  Kabacuzi,43.3,26.8,26.6,3.4,100,30553,Muhanga,0.3,0.4,0.12
  Kibangu,41.0,26.1,28.5,4.4,100,21089,Muhanga,0.329,0.398,0.131
  Kiyumba,42.9,30.5,24.3,2.3,100,26827,Muhanga,0.266,0.399,0.106
  Muhanga,49.2,25.0,22.9,2.9,100,29642,Muhanga,0.258,0.4,0.103
  Mushishiro,45.1,26.0,25.5,3.4,100,21852,Muhanga,0.289,0.399,0.115
  Nyabinoni,25.7,32.0,35.6,6.7,100,17322,Muhanga,0.423,0.42,0.178
  Nyamabuye,79.2,11.3,7.9,1.6,100,65673,Muhanga,0.095,0.407,0.039
  Nyarusange,37.1,28.4,28.3,6.2,100,28838,Muhanga,0.345,0.422,0.145
  Rongi,30.5,31.1,32.5,6.0,100,32037,Muhanga,0.385,0.415,0.16
  Rugendabari,39.4,28.0,29.5,3.1,100,19081,Muhanga,0.326,0.398,0.13
  Shyogwe,61.4,17.2,17.2,4.2,100,44109,Muhanga,0.214,0.412,0.088
  Gacurabwenge,56.9,22.0,17.8,3.4,100,38135,Kamonyi,0.212,0.409,0.087
  Karama,50.3,25.5,21.6,2.7,100,21261,Kamonyi,0.243,0.401,0.097
  Kayenzi,49.6,25.1,22.3,3.0,100,26339,Kamonyi,0.252,0.398,0.1
  Kayumbu,46.1,25.9,24.9,3.1,100,18290,Kamonyi,0.28,0.401,0.112
  Mugina,33.5,27.4,30.2,9.0,100,47020,Kamonyi,0.391,0.43,0.168
  Musambira,46.1,27.6,22.0,4.3,100,43589,Kamonyi,0.263,0.417,0.11
  Ngamba,41.4,29.2,25.9,3.4,100,17158,Kamonyi,0.294,0.403,0.119
  Nyamiyaga,34.8,29.2,28.2,7.8,100,46360,Kamonyi,0.36,0.428,0.154
  Nyarubaka,42.1,27.1,26.3,4.6,100,29438,Kamonyi,0.309,0.412,0.127
  Rugarika,51.6,22.3,20.6,5.4,100,62366,Kamonyi,0.261,0.424,0.111
  Rukoma,48.7,25.7,21.9,3.8,100,40850,Kamonyi,0.257,0.408,0.105
  Runda,69.4,15.2,11.9,3.5,100,74546,Kamonyi,0.154,0.427,0.066
  Bwishyura,51.6,21.6,20.4,6.4,100,41162,Karongi,0.268,0.431,0.115
  Gashari,36.5,32.1,27.3,4.0,100,20985,Karongi,0.314,0.413,0.13
  Gishyita,45.3,24.6,25.8,4.3,100,23716,Karongi,0.301,0.404,0.121
  Gitesi,29.6,31.1,31.4,7.9,100,27199,Karongi,0.393,0.424,0.167
  Mubuga,38.1,24.7,30.4,6.9,100,23284,Karongi,0.372,0.416,0.155
  Murambi,33.4,33.5,27.6,5.5,100,23012,Karongi,0.331,0.42,0.139
  Murundi,20.9,34.4,34.7,10.0,100,28174,Karongi,0.447,0.435,0.195
  Mutuntu,21.3,39.2,31.3,8.2,100,24032,Karongi,0.395,0.434,0.171
  Rubengera,50.6,23.6,21.1,4.7,100,41382,Karongi,0.258,0.418,0.108
  Rugabano,33.5,27.8,31.9,6.8,100,33129,Karongi,0.387,0.419,0.162
  Ruganda,28.6,39.0,28.7,3.7,100,18821,Karongi,0.323,0.413,0.133
  Rwankuba,39.9,23.5,29.9,6.7,100,33584,Karongi,0.366,0.419,0.153
  Twumba,31.1,32.5,30.2,6.2,100,27171,Karongi,0.364,0.423,0.154
  Boneza,40.8,32.3,22.6,4.3,100,23492,Rutsiro,0.269,0.415,0.111
  Gihango,42.1,30.5,23.5,3.9,100,26723,Rutsiro,0.274,0.408,0.112
  Kigeyo,34.5,26.1,32.2,7.1,100,23356,Rutsiro,0.393,0.419,0.165
  Kivumu,38.5,21.2,31.4,8.9,100,32601,Rutsiro,0.403,0.42,0.169
  Manihira,26.4,33.5,31.9,8.2,100,18806,Rutsiro,0.4,0.429,0.172
  Mukura,21.1,32.9,34.0,12.1,100,36563,Rutsiro,0.46,0.446,0.205
  Murunda,28.3,29.9,27.4,14.4,100,21884,Rutsiro,0.418,0.465,0.195
  Musasa,35.8,29.0,29.5,5.8,100,25523,Rutsiro,0.353,0.417,0.147
  Mushonyi,37.8,27.3,29.9,5.0,100,23696,Rutsiro,0.349,0.407,0.142
  Mushubati,38.2,28.4,27.0,6.4,100,30485,Rutsiro,0.334,0.418,0.14
  Nyabirasi,23.9,22.8,35.2,18.2,100,29698,Rutsiro,0.534,0.456,0.243
  Ruhango,28.4,31.4,29.8,10.4,100,28330,Rutsiro,0.402,0.444,0.178
  Rusebeya,16.3,32.1,36.5,15.0,100,25931,Rutsiro,0.515,0.451,0.233
  Bugeshi,33.6,24.0,31.0,11.4,100,31401,Rubavu,0.424,0.433,0.183
  Busasamana,27.5,19.5,35.2,17.8,100,36619,Rubavu,0.53,0.449,0.238
  Cyanzarwe,29.4,18.0,34.5,18.2,100,34008,Rubavu,0.527,0.448,0.236
  Gisenyi,88.9,7.5,2.9,0.7,100,52898,Rubavu,0.036,0.404,0.014
  Kanama,37.2,17.8,27.6,17.4,100,33972,Rubavu,0.45,0.464,0.209
  Kanzenze,43.1,20.8,24.5,11.5,100,21189,Rubavu,0.361,0.45,0.162
  Mudende,27.8,24.0,34.3,13.8,100,29830,Rubavu,0.481,0.442,0.213
  Nyakiriba,56.9,16.0,18.1,9.0,100,38087,Rubavu,0.271,0.449,0.122
  Nyamyumba,45.6,18.2,25.1,11.0,100,43553,Rubavu,0.361,0.44,0.159
  Nyundo,37.9,24.3,26.4,11.4,100,37859,Rubavu,0.378,0.447,0.169
  Rubavu,59.5,16.6,15.8,8.1,100,73918,Rubavu,0.239,0.447,0.107
  Rugerero,57.9,17.6,17.4,7.2,100,62814,Rubavu,0.245,0.439,0.108
  Bigogwe,48.1,21.9,21.6,8.4,100,31177,Nyabihu,0.3,0.432,0.129
  Jenda,41.7,26.4,24.2,7.6,100,41394,Nyabihu,0.319,0.431,0.137
  Jomba,25.1,36.7,32.4,5.8,100,21057,Nyabihu,0.382,0.419,0.16
  Kabatwa,49.5,24.4,21.8,4.3,100,20177,Nyabihu,0.261,0.407,0.106
  Karago,25.0,33.9,33.1,8.0,100,25139,Nyabihu,0.411,0.427,0.176
  Kintobo,25.2,39.1,30.4,5.3,100,14683,Nyabihu,0.358,0.42,0.15
  Mukamira,49.6,25.9,20.4,4.1,100,31777,Nyabihu,0.245,0.415,0.101
  Muringa,20.5,29.5,37.9,12.1,100,21365,Nyabihu,0.5,0.437,0.219
  Rambura,29.9,31.1,31.9,7.2,100,27806,Nyabihu,0.39,0.424,0.166
  Rugera,34.0,31.1,30.1,4.7,100,25479,Nyabihu,0.348,0.409,0.142
  Rurembo,24.7,32.9,36.2,6.2,100,23260,Nyabihu,0.425,0.416,0.177
