Dist_ID,District,Name,Prov_ID,Province,Sect_ID,NO2_max,NO2_mean,NO2_min,year,month,date,CO_mean,CO_min,CO_max,SO2_mean,SO2_min,SO2_max,O3_mean,O3_min,O3_max
28,Kamonyi,Runda,2,Southern Province,2812,4.4686227289098436e-05,4.081861824805941e-05,3.7466779634265794e-05,2023,1,2023-01,0.03264097788284653,0.03082541947690774,0.033548671648887154,-5.702225857176579e-05,-0.00030485438037430494,0.00019734579407786607,0.11802970054920665,0.11767328856158803,0.11847064719319805
31,Karongi,Bwishyura,3,Western Province,3101,3.985625691682356e-05,3.823514536276155e-05,3.537718965283078e-05,2023,1,2023-01,0.03150947943362092,0.0298497045707594,0.032316134336862756,0.00011673537401747289,-6.3979208105555e-05,0.00019497437775820739,0.11870157924123965,0.11820076155624741,0.11902320383630494
31,Karongi,Gashari,3,Western Province,3102,3.741123827474378e-05,3.481750565285292e-05,3.250546186994214e-05,2023,1,2023-01,0.029142299106108365,0.0280579293723976,0.030613647951074602,-1.5412651917883487e-05,-0.0002780642463763948,0.00022374792475992456,0.11841716863661296,0.11800560158200026,0.11872819211857642
31,Karongi,Gishyita,3,Western Province,3103,3.942130560175724e-05,3.761618899564007e-05,3.5703776253017696e-05,2023,1,2023-01,0.030673439305180947,0.0295895358919537,0.032340263371821054,3.810321616156048e-05,-0.00010699731752537536,0.0002322236148751596,0.11876839159816079,0.11857603659421939,0.11892796341619083
31,Karongi,Gitesi,3,Western Province,3104,3.927539971921192e-05,3.580384321376068e-05,3.053208101583311e-05,2023,1,2023-01,0.028662820889307106,0.027225048780484366,0.03121759424058526,0.00012844517958504934,-8.682560424344877e-05,0.00030777733282143845,0.11842299967555865,0.11805265357664826,0.11902320383630494
31,Karongi,Mubuga,3,Western Province,3105,3.979403362276897e-05,3.8372695887421944e-05,3.579568552299708e-05,2023,1,2023-01,0.03138790267996679,0.02997986561522529,0.03218247640302061,-4.122186903736943e-05,-0.0001360246319036824,9.433435950788285e-05,0.11884522405385875,0.1186507129328411,0.11900004678470008
31,Karongi,Murambi,3,Western Province,3106,3.864267753929383e-05,3.489820046765481e-05,3.215832761142252e-05,2023,1,2023-01,0.030510679289004715,0.029676989023802572,0.031320038486522636,2.3398105838461603e-05,-0.00019814190987887262,0.00015300608112309128,0.11840054935794869,0.11805384168687663,0.11879244329787948
31,Karongi,Murundi,3,Western Province,3107,3.870529810298596e-05,3.641819731208739e-05,3.307139186461427e-05,2023,1,2023-01,0.0302294942749725,0.029004878919687976,0.03128162883489511,-0.00016701823293039278,-0.00037935232500108514,8.864149249051756e-05,0.11820110637942445,0.11802357440776313,0.11869964750319588
31,Karongi,Mutuntu,3,Western Province,3108,4.347940450802831e-05,3.72526638629134e-05,3.171028919406041e-05,2023,1,2023-01,0.028290513967974853,0.02679640486848482,0.029632136908673116,7.448127461199483e-05,-0.00013783748663216287,0.00030089228420478127,0.11861460673905061,0.11812445330018975,0.11910560941646786
31,Karongi,Rubengera,3,Western Province,3109,3.965894028868219e-05,3.726038670085533e-05,3.389284329929378e-05,2023,1,2023-01,0.030617199801123242,0.02791243190777816,0.032310128029976536,0.00010116326865498706,-0.00018505507470889505,0.0003094453854405949,0.11823536827225446,0.11793244817178848,0.11884769614057723
31,Karongi,Rugabano,3,Western Province,3110,3.7939161910473564e-05,3.4576984173068815e-05,3.053208101583311e-05,2023,1,2023-01,0.028297275292446866,0.027206870664845197,0.03050844797369515,-0.00010277078001325102,-0.00032419850846420926,0.00016299097224439408,0.11820216585800172,0.11800055344187128,0.11850452488810377
31,Karongi,Ruganda,3,Western Province,3111,3.9139694821696726e-05,3.522591204151284e-05,3.171028919406041e-05,2023,1,2023-01,0.02904639424783472,0.02815983421231783,0.03020241009451266,4.5508979037549265e-05,-0.00012110623061752486,0.00030089228420478127,0.11875094039546706,0.11822209058672069,0.11905160773683833
31,Karongi,Rwankuba,3,Western Province,3112,3.825639306105847e-05,3.604807699075602e-05,3.351352753673712e-05,2023,1,2023-01,0.02910119451151616,0.02771694642926701,0.030979013561293102,9.313971686974224e-05,-6.92973259578795e-05,0.00035055976687593907,0.11850511262178058,0.1180999108601378,0.11900004678470008
31,Karongi,Twumba,3,Western Province,3113,4.347940450802831e-05,3.729928053987923e-05,3.312208132353045e-05,2023,1,2023-01,0.028282425966906093,0.026148995369316818,0.030918612404062525,-5.065209938807455e-07,-0.00016051409147663595,0.00035055976687593907,0.1183951961842151,0.11804516453085652,0.11898253401281869
32,Rutsiro,Boneza,3,Western Province,3201,3.8069540264359215e-05,3.4929749930515606e-05,3.075759021942339e-05,2023,1,2023-01,0.03000249848851083,0.028852428014765046,0.03250007169233377,-1.6136913312024038e-05,-0.00013801436615854006,0.0002108524214626721,0.11862813879713899,0.1181804084014985,0.11883201555911406
32,Rutsiro,Gihango,3,Western Province,3202,3.741653836938178e-05,3.4726912391243984e-05,3.264417353358176e-05,2023,1,2023-01,0.02991046674185521,0.027482698194486163,0.03331968275297708,2.943497295515942e-05,-0.00028736974043107295,0.00031974853482106587,0.11829549032974235,0.11780321908266393,0.11900114076670452
32,Rutsiro,Kigeyo,3,Western Province,3203,3.8774625206533644e-05,3.5364702307984726e-05,3.169000258648887e-05,2023,1,2023-01,0.029205680076345695,0.027906920595751644,0.0311626485884674,6.234055308677018e-05,-0.0003859106951880904,0.0005797475984816511,0.11846655102431977,0.11802237758639074,0.11870641738712527
32,Rutsiro,Kivumu,3,Western Province,3204,3.907730216819657e-05,3.680001170991551e-05,3.45317584095667e-05,2023,1,2023-01,0.02934872734676328,0.02860266970989922,0.03128317750952323,-3.5450065471747786e-06,-0.0003859106951880904,0.00018513969848338579,0.11853070611504771,0.11826565600390057,0.11881868791683366
32,Rutsiro,Manihira,3,Western Province,3205,3.877177341316874e-05,3.602768044078616e-05,3.388532439339314e-05,2023,1,2023-01,0.028186473461557858,0.026637834325300116,0.030367851187814248,6.972666050110085e-05,-0.00013071963289083,0.0004277460393496298,0.1182379477880667,0.11759175505480295,0.11870258823993972
32,Rutsiro,Mukura,3,Western Province,3206,3.984242807402122e-05,3.6992651238202695e-05,3.517512818676336e-05,2023,1,2023-01,0.028492930784644543,0.026991351433556555,0.03175017899807146,0.00014466403289008263,-0.00031868591274054317,0.00031010573002280005,0.11799733180579099,0.11766986368825147,0.11837469449969776
32,Rutsiro,Murunda,3,Western Province,3207,3.890246352151377e-05,3.518672337255534e-05,3.180043595385589e-05,2023,1,2023-01,0.02741465518390586,0.026390395352789895,0.02918185797286853,-2.3335152490646225e-05,-0.0002948549926510456,0.00040587326444093015,0.11807269843470405,0.11770589030560806,0.118211787978368
32,Rutsiro,Musasa,3,Western Province,3208,3.6914537158118854e-05,3.468307424060702e-05,3.2539931121825227e-05,2023,1,2023-01,0.03039099192645876,0.028683627490666504,0.032597753316078004,-1.398376961990181e-05,-0.0003596913936621654,0.0004260136580401944,0.11835079239608252,0.1178639018027118,0.11899285678226247
32,Rutsiro,Mushonyi,3,Western Province,3209,3.60886662004485e-05,3.307137534117918e-05,3.075759021942339e-05,2023,1,2023-01,0.029126656084475958,0.028197734777750012,0.030720039120228353,7.372630804082808e-05,-0.0001241050348195943,0.0002685088924758558,0.11846808895250845,0.11811093137357186,0.11881021974046257
32,Rutsiro,Mushubati,3,Western Province,3210,3.928899179166044e-05,3.699324033293713e-05,3.4016208475070615e-05,2023,1,2023-01,0.030833952917756934,0.028406502660788025,0.03331968275297708,3.843423964678268e-05,-0.00028736974043107295,0.0002667595542523864,0.1184008550464689,0.11799061593689217,0.11897141400455587
