sector,non_poor,vulnerable,moderately_poor,severely_poor,total,count,district
  Nyundo,37.9,24.3,26.4,11.4,100,37859,Rubavu
  Rubavu,59.5,16.6,15.8,8.1,100,73918,Rubavu
  Rugerero,57.9,17.6,17.4,7.2,100,62814,Rubavu
  Bigogwe,48.1,21.9,21.6,8.4,100,31177,Nyabihu
  Jenda,41.7,26.4,24.2,7.6,100,41394,Nyabihu
  Jomba,25.1,36.7,32.4,5.8,100,21057,Nyabihu
  Kabatwa,49.5,24.4,21.8,4.3,100,20177,Nyabihu
  Karago,25,33.9,33.1,8,100,25139,Nyabihu
  Kintobo,25.2,39.1,30.4,5.3,100,14683,Nyabihu
  Mukamira,49.6,25.9,20.4,4.1,100,31777,Nyabihu
  Muringa,20.5,29.5,37.9,12.1,100,21365,Nyabihu
  Rambura,29.9,31.1,31.9,7.2,100,27806,Nyabihu
  Rugera,34,31.1,30.1,4.7,100,25479,Nyabihu
  Rurembo,24.7,32.9,36.2,6.2,100,23260,Nyabihu
  Shyira,36,31.9,27.7,4.5,100,22144,Nyabihu
  Bwira,30.9,31.9,32.6,4.6,100,20477,Ngororero
  Gatumba,42.3,29,25.7,3,100,26279,Ngororero
  Hindiro,33.8,31.9,29.2,5.1,100,25911,Ngororero
  Kabaya,37.2,31.9,26.6,4.3,100,34944,Ngororero
  Kageyo,35,31.4,28.9,4.7,100,26231,Ngororero
  Kavumu,21.4,32.8,34.1,11.8,100,32141,Ngororero
  Matyazo,22,35.9,34.3,7.9,100,27471,Ngororero
  Muhanda,14.5,23.5,40.5,21.5,100,30793,Ngororero
  Muhororo,40.7,29.2,26.9,3.2,100,23020,Ngororero
  Ndaro,29,32,33.8,5.3,100,25395,Ngororero
  Ngororero,40.3,29.4,26.4,3.9,100,41062,Ngororero
  Nyange,32.3,34.1,28.8,4.8,100,25927,Ngororero
  Sovu,13.8,35.6,37,13.6,100,30713,Ngororero
  Bugarama,41.8,20.2,26.1,11.9,100,36595,Rusizi
  Butare,17.8,32.6,34.5,15.1,100,21932,Rusizi
  Bweyeye,25.3,28.3,33.6,12.8,100,14403,Rusizi
  Gashonga,42.4,22.1,28.6,6.8,100,24755,Rusizi
  Giheke,43.5,25.6,26.3,4.7,100,18782,Rusizi
  Gihundwe,65.2,17.3,13.9,3.5,100,35496,Rusizi
  Gikundamvura,30.5,21.8,35.2,12.5,100,19285,Rusizi
  Gitambi,38.6,27.7,28.4,5.2,100,21772,Rusizi
  Kamembe,74.5,14.6,9,1.8,100,30657,Rusizi
  Muganza,48.4,18.3,25.4,8,100,29446,Rusizi
  Mururu,48.3,22.9,22.7,6,100,26055,Rusizi
  Nkanka,36,28.1,30.1,5.8,100,16586,Rusizi
  Nkombo,16.8,27.8,36.9,18.6,100,13627,Rusizi
  Nkungu,37.2,26.2,31.2,5.4,100,19797,Rusizi
  Nyakabuye,38.7,24.4,29.5,7.3,100,29518,Rusizi
  Nyakarenzo,42.9,24.1,27.6,5.4,100,16482,Rusizi
  Nzahaha,38.5,21.7,31.4,8.4,100,25703,Rusizi
  Rwimbogo,46.1,21.8,26.8,5.3,100,18710,Rusizi
  Bushekeri,36.1,25.5,30.1,8.4,100,25151,Nyamasheke
  Bushenge,52.9,23.3,21.3,2.5,100,19441,Nyamasheke
  Cyato,32.1,27,34.1,6.8,100,23640,Nyamasheke
  Gihombo,30.6,30.9,29.7,8.9,100,26995,Nyamasheke
  Kagano,40.8,24.7,27.9,6.6,100,35272,Nyamasheke
  Kanjongo,44.3,24.5,25.1,6.2,100,36335,Nyamasheke
  Karambi,41.7,27.7,27.1,3.5,100,26999,Nyamasheke
  Karengera,42.8,26.1,27.1,4,100,27842,Nyamasheke
  Kirimbi,36.6,29.3,29.2,4.8,100,22628,Nyamasheke
  Macuba,42.6,28.6,23.9,4.9,100,29370,Nyamasheke
  Mahembe,38,28.2,28.6,5.2,100,18893,Nyamasheke
  Nyabitekeri,43.5,27.1,25.3,4.1,100,24855,Nyamasheke
  Rangiro,39.6,29,27.2,4.2,100,15863,Nyamasheke
  Ruharambuga,49.2,25.4,21.9,3.5,100,24076,Nyamasheke
  Shangi,47.2,23.4,24.4,5.1,100,23424,Nyamasheke
  Base,48.5,27.1,22.3,2.2,100,20937,Rulindo
  Burega,44.4,24.4,26.2,5,100,14883,Rulindo
  Bushoki,58.9,23.7,16,1.3,100,23720,Rulindo
  Buyoga,43.5,27.9,24.8,3.8,100,25351,Rulindo
  Cyinzuzi,39.6,27,29,4.4,100,15990,Rulindo
  Cyungo,38.7,27.4,29.2,4.7,100,15167,Rulindo
  Kinihira,44.4,29.9,23.2,2.5,100,17434,Rulindo
  Kisaro,36.1,31.2,28.1,4.5,100,23376,Rulindo
  Masoro,50.4,22,22.5,5.2,100,27678,Rulindo
  Mbogo,51.1,26.5,20.4,2,100,19465,Rulindo
  Murambi,53.5,21.8,20.1,4.6,100,27315,Rulindo
  Ngoma,42.9,29.6,24.3,3.2,100,12980,Rulindo
  Ntarabana,47.8,22.6,24.3,5.3,100,25455,Rulindo
  Rukozo,40.6,29.1,26.2,4.1,100,17066,Rulindo
  Rusiga,48.4,27.6,22.4,1.6,100,13835,Rulindo
  Shyorongi,61.7,20,15.3,3.1,100,45764,Rulindo
  Tumba,46.1,31,21,1.9,100,21093,Rulindo
  Busengo,37.8,32.7,26.7,2.7,100,21365,Gakende
  Coko,49,28.3,21.1,1.6,100,18386,Gakende
  Cyabingo,38.6,28.4,30,2.9,100,19289,Gakende
  Gakenke,43.6,29.4,24.2,2.7,100,25527,Gakende
  Gashenyi,40.1,28.3,28.9,2.7,100,23528,Gakende
  Janja,29.6,38.2,28.2,4,100,15743,Gakende
  Kamubuga,32.6,27.1,32.8,7.5,100,22768,Gakende
  Karambo,37.3,28.4,31.1,3.3,100,14483,Gakende
  Kivuruga,48.4,23.8,25.3,2.5,100,19357,Gakende
  Mataba,22.3,32.8,37.7,7.2,100,16334,Gakende
  Minazi,38.5,30.9,27.6,3,100,14455,Gakende
