Dist_ID,District,Name,Prov_ID,Province,Sect_ID,mean,date
42,Gakenke,Karambo,4,Northern Province,4208,3.615920873726009e-05,2023-01
42,Gakenke,Kivuruga,4,Northern Province,4209,3.731971397668054e-05,2023-01
42,Gakenke,Mataba,4,Northern Province,4210,3.513526851186339e-05,2023-01
42,Gakenke,Minazi,4,Northern Province,4211,3.672113592644825e-05,2023-01
42,Gakenke,Mugunga,4,Northern Province,4212,3.560819630563496e-05,2023-01
42,Gakenke,Muhondo,4,Northern Province,4213,3.484287774294686e-05,2023-01
42,Gakenke,Muyongwe,4,Northern Province,4214,3.590407166256238e-05,2023-01
42,Gakenke,Muzo,4,Northern Province,4215,3.46967822083169e-05,2023-01
42,Gakenke,Nemba,4,Northern Province,4216,3.674285930562188e-05,2023-01
42,Gakenke,Ruli,4,Northern Province,4217,3.5181354734272834e-05,2023-01
42,Gakenke,Rusasa,4,Northern Province,4218,3.651891979480336e-05,2023-01
42,Gakenke,Rushashi,4,Northern Province,4219,3.7116711355821045e-05,2023-01
43,Musanze,Busogo,4,Northern Province,4301,3.560640650544676e-05,2023-01
43,Musanze,Cyuve,4,Northern Province,4302,3.5553454659255337e-05,2023-01
43,Musanze,Gacaca,4,Northern Province,4303,3.730288554416613e-05,2023-01
43,Musanze,Gashaki,4,Northern Province,4304,3.752046877912199e-05,2023-01
43,Musanze,Gataraga,4,Northern Province,4305,3.431447410145829e-05,2023-01
43,Musanze,Kimonyi,4,Northern Province,4306,3.4702793094735556e-05,2023-01
43,Musanze,Kinigi,4,Northern Province,4307,3.147527634967224e-05,2023-01
43,Musanze,Muhoza,4,Northern Province,4308,3.7316628979030175e-05,2023-01
43,Musanze,Muko,4,Northern Province,4309,3.531913711421844e-05,2023-01
43,Musanze,Musanze,4,Northern Province,4310,3.5277281389303996e-05,2023-01
43,Musanze,Nkotsi,4,Northern Province,4311,3.570494302624e-05,2023-01
43,Musanze,Nyange,4,Northern Province,4312,3.2753631776075766e-05,2023-01
43,Musanze,Remera,4,Northern Province,4313,3.5501638262774736e-05,2023-01
43,Musanze,Rwaza,4,Northern Province,4314,3.5234295759022824e-05,2023-01
43,Musanze,Shingiro,4,Northern Province,4315,3.426662652353726e-05,2023-01
44,Burera,Bungwe,4,Northern Province,4401,3.6414782928094705e-05,2023-01
44,Burera,Butaro,4,Northern Province,4402,3.357033904786213e-05,2023-01
44,Burera,Cyanika,4,Northern Province,4403,3.529920963239832e-05,2023-01
44,Burera,Cyeru,4,Northern Province,4404,3.589837443784218e-05,2023-01
44,Burera,Gahunga,4,Northern Province,4405,3.271127675848404e-05,2023-01
44,Burera,Gatebe,4,Northern Province,4406,3.75470768860737e-05,2023-01
44,Burera,Gitovu,4,Northern Province,4407,3.8092927698571914e-05,2023-01
44,Burera,Kagogo,4,Northern Province,4408,3.3252165434738296e-05,2023-01
44,Burera,Kinoni,4,Northern Province,4409,3.4470659631385484e-05,2023-01
44,Burera,Kinyababa,4,Northern Province,4410,3.377341264496075e-05,2023-01
44,Burera,Kivuye,4,Northern Province,4411,3.6240639694880006e-05,2023-01
44,Burera,Nemba,4,Northern Province,4412,3.538145431028472e-05,2023-01
44,Burera,Rugarama,4,Northern Province,4413,3.479035949253138e-05,2023-01
44,Burera,Rugengabari,4,Northern Province,4414,3.6347341754769195e-05,2023-01
44,Burera,Ruhunde,4,Northern Province,4415,3.649254247677933e-05,2023-01
44,Burera,Rusarabuye,4,Northern Province,4416,3.665368042268363e-05,2023-01
44,Burera,Rwerere,4,Northern Province,4417,3.6536103855621786e-05,2023-01
45,Gicumbi,Bukure,4,Northern Province,4501,3.679558775943496e-05,2023-01
45,Gicumbi,Bwisige,4,Northern Province,4502,3.783049360573619e-05,2023-01
45,Gicumbi,Byumba,4,Northern Province,4503,3.741779102304127e-05,2023-01
45,Gicumbi,Cyumba,4,Northern Province,4504,3.457677557356312e-05,2023-01
45,Gicumbi,Giti,4,Northern Province,4505,3.791769116923678e-05,2023-01
45,Gicumbi,Kageyo,4,Northern Province,4506,3.546758912786413e-05,2023-01
45,Gicumbi,Kaniga,4,Northern Province,4507,3.358198577455618e-05,2023-01
45,Gicumbi,Manyagiro,4,Northern Province,4508,3.741102477214876e-05,2023-01
45,Gicumbi,Miyove,4,Northern Province,4509,3.641454587825712e-05,2023-01
45,Gicumbi,Mukarange,4,Northern Province,4510,3.5964618306109054e-05,2023-01
45,Gicumbi,Muko,4,Northern Province,4511,3.615049187821992e-05,2023-01
45,Gicumbi,Mutete,4,Northern Province,4512,3.7937692818370713e-05,2023-01
45,Gicumbi,Nyamiyaga,4,Northern Province,4513,3.78095905467002e-05,2023-01
45,Gicumbi,Nyankenke,4,Northern Province,4514,3.8662184381785356e-05,2023-01
45,Gicumbi,Rubaya,4,Northern Province,4515,3.4215094963652844e-05,2023-01
45,Gicumbi,Rukomo,4,Northern Province,4516,3.7096024520535184e-05,2023-01
45,Gicumbi,Rushaki,4,Northern Province,4517,3.5370440251800193e-05,2023-01
45,Gicumbi,Rutare,4,Northern Province,4518,3.8260163470268425e-05,2023-01
45,Gicumbi,Ruvune,4,Northern Province,4519,3.73989387864211e-05,2023-01
45,Gicumbi,Rwamiko,4,Northern Province,4520,3.734148427033276e-05,2023-01
45,Gicumbi,Shangasha,4,Northern Province,4521,3.692672594301562e-05,2023-01
51,Rwamagana,Fumbwe,5,Eastern Province,5101,3.817853217554805e-05,2023-01
51,Rwamagana,Gahengeri,5,Eastern Province,5102,3.8902232772688116e-05,2023-01
51,Rwamagana,Gishali,5,Eastern Province,5103,3.815727960701501e-05,2023-01
51,Rwamagana,Karenge,5,Eastern Province,5104,3.598601488941227e-05,2023-01
51,Rwamagana,Kigabiro,5,Eastern Province,5105,3.5891263507882e-05,2023-01
51,Rwamagana,Muhazi,5,Eastern Province,5106,3.7471572505935096e-05,2023-01
51,Rwamagana,Munyaga,5,Eastern Province,5107,3.593800881499376e-05,2023-01
51,Rwamagana,Munyiginya,5,Eastern Province,5108,3.841557467742893e-05,2023-01
51,Rwamagana,Musha,5,Eastern Province,5109,3.664622343813064e-05,2023-01
51,Rwamagana,Muyumbu,5,Eastern Province,5110,3.7687488112571826e-05,2023-01
51,Rwamagana,Mwulire,5,Eastern Province,5111,3.6882736816747444e-05,2023-01
51,Rwamagana,Nyakaliro,5,Eastern Province,5112,3.792922386383828e-05,2023-01
51,Rwamagana,Nzige,5,Eastern Province,5113,3.6583731230812336e-05,2023-01
51,Rwamagana,Rubona,5,Eastern Province,5114,3.6240377744123394e-05,2023-01
