Prov_ID,Province,Dist_ID,District,Sect_ID,Name,join_key,sector,non_poor,vulnerable,moderately_poor,severely_poor,total,count,district,poverty_rate,poverty_index,affluence_index,poor_population,severely_poor_population,non_poor_population
2.0,Southern Province,24.0,Huye,2406.0,Maraba,maraba,Maraba,40.6,26.9,26.5,6.1,100,27614,Huye,32.6,19.83,36.03333333333333,9002.164,1684.454,11211.284000000001
2.0,Southern Province,24.0,Huye,2407.0,Mbazi,mbazi,Mbazi,47.5,23.3,23.4,5.8,100,37487,Huye,29.2,18.75,39.43333333333333,10946.204,2174.246,17806.325
2.0,Southern Province,24.0,Huye,2407.0,Mbazi,mbazi,Mbazi,47.7,23.5,25.4,3.5,100,13131,Nyamagabe,28.9,18.49,39.63333333333333,3794.8589999999995,459.585,6263.487000000001
2.0,Southern Province,24.0,Huye,2408.0,Mukura,mukura,Mukura,46.0,18.2,26.6,9.2,100,27958,Huye,35.8,19.9,36.733333333333334,10008.964,2572.136,12860.68
2.0,Southern Province,24.0,Huye,2408.0,Mukura,mukura,Mukura,21.1,32.9,34.0,12.1,100,36563,Rutsiro,46.1,23.729999999999997,25.03333333333333,16855.543,4424.123,7714.793000000001
2.0,Southern Province,24.0,Huye,2409.0,Ngoma,ngoma,Ngoma,44.2,19.3,30.5,6.0,100,23800,Nyaruguru,36.5,19.830000000000002,35.9,8687.0,1428.0,10519.6
2.0,Southern Province,24.0,Huye,2409.0,Ngoma,ngoma,Ngoma,79.4,10.5,8.3,1.8,100,22160,Huye,10.100000000000001,13.25,56.43333333333334,2238.1600000000003,398.88,17595.04
2.0,Southern Province,24.0,Huye,2409.0,Ngoma,ngoma,Ngoma,42.9,29.6,24.3,3.2,100,12980,Rulindo,27.5,18.78,38.46666666666667,3569.5,415.36,5568.42
2.0,Southern Province,24.0,Huye,2410.0,Ruhashya,ruhashya,Ruhashya,35.2,25.7,31.0,8.1,100,25967,Huye,39.1,21.2,32.03333333333334,10153.097000000002,2103.3269999999998,9140.384
2.0,Southern Province,24.0,Huye,2411.0,Rusatira,rusatira,Rusatira,38.0,22.8,28.8,10.5,100,31725,Huye,39.3,21.2,32.93333333333333,12467.925,3331.125,12055.5
2.0,Southern Province,24.0,Huye,2412.0,Rwaniro,rwaniro,Rwaniro,27.5,30.5,33.8,8.2,100,24136,Huye,42.0,22.27,28.5,10137.12,1979.1519999999998,6637.4
2.0,Southern Province,24.0,Huye,2413.0,Simbi,simbi,Simbi,38.9,27.3,28.0,5.9,100,24196,Huye,33.9,20.11,35.03333333333333,8202.444,1427.5639999999999,9412.244
2.0,Southern Province,24.0,Huye,2414.0,Tumba,tumba,Tumba,68.8,13.9,12.5,4.8,100,39494,Huye,17.3,15.330000000000002,50.5,6832.462,1895.7119999999998,27171.871999999996
2.0,Southern Province,24.0,Huye,2414.0,Tumba,tumba,Tumba,46.1,31.0,21.0,1.9,100,21093,Rulindo,22.9,17.869999999999997,41.06666666666667,4830.297,400.767,9723.873
2.0,Southern Province,25.0,Nyamagabe,2501.0,Buruhukiro,buruhukiro,Buruhukiro,23.1,29.0,35.4,12.6,100,27259,Nyamagabe,48.0,23.77,25.066666666666666,13084.32,3434.6339999999996,6296.829000000001
2.0,Southern Province,25.0,Nyamagabe,2502.0,Cyanika,cyanika,Cyanika,40.6,27.7,27.3,4.5,100,27403,Nyamagabe,31.8,19.59,36.300000000000004,8714.154,1233.135,11125.618
2.0,Southern Province,25.0,Nyamagabe,2502.0,Cyanika,cyanika,Cyanika,36.1,25.1,32.6,6.1,100,40938,Burera,38.7,20.85,32.43333333333334,15843.006000000001,2497.218,14778.618
2.0,Southern Province,25.0,Nyamagabe,2503.0,Gasaka,gasaka,Gasaka,60.5,20.5,16.4,2.6,100,36379,Nyamagabe,19.0,16.11,47.166666666666664,6912.01,945.854,22009.295
2.0,Southern Province,25.0,Nyamagabe,2504.0,Gatare,gatare,Gatare,24.0,28.8,36.1,11.1,100,17838,Nyamagabe,47.2,23.43,25.599999999999998,8419.536,1980.0179999999998,4281.12
2.0,Southern Province,25.0,Nyamagabe,2505.0,Kaduha,kaduha,Kaduha,27.0,26.9,34.8,11.3,100,23844,Nyamagabe,46.099999999999994,23.04,26.96666666666667,10992.083999999999,2694.3720000000003,6437.88
2.0,Southern Province,25.0,Nyamagabe,2506.0,Kamegeri,kamegeri,Kamegeri,28.4,32.1,31.7,7.9,100,14967,Nyamagabe,39.6,21.93,29.633333333333336,5926.932000000001,1182.393,4250.628
2.0,Southern Province,25.0,Nyamagabe,2507.0,Kibirizi,kibirizi,Kibirizi,36.8,22.0,32.1,9.1,100,34480,Gisagara,41.2,21.35,31.866666666666664,14205.76,3137.68,12688.64
2.0,Southern Province,25.0,Nyamagabe,2507.0,Kibirizi,kibirizi,Kibirizi,34.2,33.5,27.8,4.6,100,22044,Nyamagabe,32.4,20.3,33.96666666666667,7142.255999999999,1014.0239999999999,7539.048000000001
2.0,Southern Province,25.0,Nyamagabe,2508.0,Kibumbwe,kibumbwe,Kibumbwe,27.0,32.3,30.9,9.8,100,14131,Nyamagabe,40.7,22.349999999999998,28.766666666666666,5751.317000000001,1384.8380000000002,3815.37
2.0,Southern Province,25.0,Nyamagabe,2509.0,Kitabi,kitabi,Kitabi,27.7,28.8,33.9,9.6,100,26391,Nyamagabe,43.5,22.54,28.066666666666666,11480.085,2533.5359999999996,7310.307
2.0,Southern Province,25.0,Nyamagabe,2510.0,Mbazi,mbazi,Mbazi,47.5,23.3,23.4,5.8,100,37487,Huye,29.2,18.75,39.43333333333333,10946.204,2174.246,17806.325
2.0,Southern Province,25.0,Nyamagabe,2510.0,Mbazi,mbazi,Mbazi,47.7,23.5,25.4,3.5,100,13131,Nyamagabe,28.9,18.49,39.63333333333333,3794.8589999999995,459.585,6263.487000000001
2.0,Southern Province,25.0,Nyamagabe,2511.0,Mugano,mugano,Mugano,24.4,28.6,35.8,11.2,100,20993,Nyamagabe,47.0,23.38,25.8,9866.71,2351.216,5122.2919999999995
2.0,Southern Province,25.0,Nyamagabe,2512.0,Musange,musange,Musange,42.1,26.9,26.0,4.9,100,21261,Nyamagabe,30.9,19.349999999999998,37.03333333333333,6569.649,1041.789,8950.881
2.0,Southern Province,25.0,Nyamagabe,2513.0,Musebeya,musebeya,Musebeya,25.4,30.7,33.7,10.1,100,20453,Nyamagabe,43.800000000000004,22.830000000000002,27.166666666666668,8958.414,2065.7529999999997,5195.062
2.0,Southern Province,25.0,Nyamagabe,2514.0,Mushubi,mushubi,Mushubi,29.7,27.6,35.4,7.4,100,14279,Nyamagabe,42.8,22.07,29.0,6111.411999999999,1056.646,4240.863
2.0,Southern Province,25.0,Nyamagabe,2515.0,Nkomane,nkomane,Nkomane,17.1,30.0,39.7,13.1,100,18174,Nyamagabe,52.800000000000004,24.86,21.400000000000002,9595.872000000001,2380.794,3107.7540000000004
