sector,district,count,area_sqkm,population_density,non_poor,vulnerable,moderately_poor,severely_poor,poverty_rate,poverty_index,urban_rural_class,distance_to_major_road_km,road_density_km_per_sqkm,vulnerability_index,vulnerability_category
Nyanza,Gisagara,20225,38.91352570645888,519.7421624698234,26.3,22.8,40.0,10.9,50.9,23.55,Urban,0.06990689759339215,3.3490181390508726,0.6126387808070138,Very High
Save,Gisagara,33173,41.06917691003312,807.7347172715288,39.2,24.7,28.7,7.5,36.2,20.47,Urban,,5.063794965078687,,
Busanze,Nyaruguru,26955,70.78780780212635,380.7859126722429,32.0,26.6,31.8,9.6,41.4,21.9,Urban,,4.087006805644411,,
Cyahinda,Nyaruguru,21972,53.24319727512127,412.6724375034248,39.8,25.7,28.1,6.5,34.6,20.15,Urban,,4.992877709089657,,
Kibeho,Nyaruguru,25307,78.53024591820592,322.2580001386828,46.4,23.3,23.8,6.5,30.3,19.04,Urban,0.6256402858163651,3.043293504814874,0.4267951253920631,Moderate
Kivu,Nyaruguru,17606,124.01875371043408,141.96240063101644,37.1,24.6,31.0,7.3,38.3,20.85,Peri-urban,,1.794880007629875,,
Mata,Nyaruguru,15687,62.161094825507774,252.36042003499023,43.4,28.1,23.3,5.2,28.5,19.03,Urban,,4.430387708496459,,
Muganza,Gisagara,36715,91.36422773950055,401.8531202899511,29.8,21.4,34.8,14.0,48.8,23.3,Urban,,2.3870268344583616,,
Muganza,Nyaruguru,19277,91.36422773950055,210.99067410675167,35.9,23.4,33.3,7.4,40.699999999999996,21.220000000000002,Urban,,2.3870268344583616,,
Muganza,Rusizi,29446,91.36422773950055,322.29244123812884,48.4,18.3,25.4,8.0,33.4,19.32,Urban,,2.3870268344583616,,
Munini,Nyaruguru,17990,46.96673226122922,383.03708037296536,37.5,29.2,27.5,5.8,33.3,20.16,Urban,,4.18983676961389,,
Ngera,Nyaruguru,24004,59.403979552772284,404.08067238451156,35.9,23.0,33.0,8.1,41.1,21.330000000000002,Urban,1.2389345012221038,3.723683476903535,0.4997749995331721,Very High
Ngoma,Nyaruguru,23800,47.23078446456721,503.90863225773626,44.2,19.3,30.5,6.0,36.5,19.830000000000002,Urban,0.9609421561098012,3.7133496132160007,0.47058065877678057,High
Ngoma,Huye,22160,47.23078446456721,469.1855164214889,79.4,10.5,8.3,1.8,10.100000000000001,13.25,Urban,0.9609421561098012,3.7133496132160007,0.25381580415479704,Very Low
Ngoma,Rulindo,12980,47.23078446456721,274.8207582649335,42.9,29.6,24.3,3.2,27.5,18.78,Urban,0.9609421561098012,3.7133496132160007,0.3943597536628103,Low
Nyabimata,Nyaruguru,17166,127.1159664452556,135.04204452076283,31.3,23.2,36.2,9.3,45.5,22.35,Peri-urban,,1.8340791498895312,,
Nyagisozi,Nyanza,28846,34.99600647296147,824.2654778992262,30.4,29.2,32.1,8.2,40.3,21.790000000000003,Urban,,5.003740157500133,,
Nyagisozi,Nyaruguru,18554,34.99600647296147,530.1747790661528,48.1,18.7,28.5,4.8,33.3,19.02,Urban,,5.003740157500133,,
Ruheru,Nyaruguru,24408,106.32770563655527,229.55446893051905,33.0,24.0,32.7,10.3,43.0,22.03,Urban,,2.1000303538512672,,
Ruramba,Nyaruguru,17294,49.03491443109796,352.6874717870852,37.9,27.1,28.8,6.2,35.0,20.330000000000002,Urban,,4.386577852333359,,
Rusenge,Nyaruguru,25099,59.866176324082105,419.2517635355231,27.9,28.8,33.3,10.0,43.3,22.54,Urban,,3.779563165939536,,
Gishamvu,Huye,14967,22.4742664922094,665.9616679898426,40.8,22.9,29.3,7.1,36.4,20.290000000000003,Urban,3.6243260626555927,3.996232068934999,0.4001867353100764,Low
Huye,Huye,29738,35.453394235472224,838.7913383550228,48.8,22.0,22.0,7.2,29.2,18.76,Urban,2.9999374910256553,5.0552751819097494,0.35973595150188853,Low
Karama,Huye,17802,53.144487004958954,334.97359751236064,38.5,30.3,26.1,5.2,31.3,19.82,Urban,,3.7734377375762516,,
Karama,Kamonyi,21261,53.144487004958954,400.06031101619476,50.3,25.5,21.6,2.7,24.3,17.69,Urban,,3.7734377375762516,,
Karama,Nyagatare,33037,53.144487004958954,621.6449129881956,34.2,26.6,31.1,8.1,39.2,21.310000000000002,Urban,,3.7734377375762516,,
Kigoma,Nyanza,42249,51.07897591647027,827.1309132957173,36.3,22.5,30.2,10.9,41.1,21.55,Urban,,4.70101185897879,,
Kigoma,Huye,26579,51.07897591647027,520.3510744511555,42.1,26.0,27.0,4.9,31.9,19.47,Urban,,4.70101185897879,,
Kinazi,Huye,34192,60.49334328912205,565.219214890846,38.5,23.3,28.9,9.2,38.099999999999994,20.86,Urban,1.3191536063971727,3.7449001663535415,0.47476070443930024,High
Kinazi,Ruhango,52274,60.49334328912205,864.1281363828992,31.7,23.8,31.2,13.4,44.6,22.65,Urban,1.3191536063971727,3.7449001663535415,0.5312366394490171,Very High
Maraba,Huye,27614,52.398990746452434,526.9948830430393,40.6,26.9,26.5,6.1,32.6,19.83,Urban,,3.938082686194652,,
Mbazi,Huye,37487,41.186943702292965,910.1670731133424,47.5,23.3,23.4,5.8,29.2,18.75,Urban,1.838004972262947,4.981221272652546,0.39160820721121203,Low
Mbazi,Nyamagabe,13131,41.186943702292965,318.81462472460584,47.7,23.5,25.4,3.5,28.9,18.49,Urban,1.838004972262947,4.981221272652546,0.38282385423148035,Low
Mukura,Huye,27958,28.136828882156006,993.6443128362124,46.0,18.2,26.6,9.2,35.8,19.9,Urban,0.7783745541484332,4.4441467381644095,0.47496929895625295,High
Mukura,Rutsiro,36563,28.136828882156006,1299.4712429440744,21.1,32.9,34.0,12.1,46.1,23.729999999999997,Urban,0.7783745541484332,4.4441467381644095,0.5626667726697533,Very High
Ngoma,Nyaruguru,23800,20.59907195554732,1155.3918570390097,44.2,19.3,30.5,6.0,36.5,19.830000000000002,Urban,0.5392858829819954,7.070241121639173,0.4888383166175315,High
Ngoma,Huye,22160,20.59907195554732,1075.7766198312795,79.4,10.5,8.3,1.8,10.100000000000001,13.25,Urban,0.5392858829819954,7.070241121639173,0.2715932783444599,Very Low
Ngoma,Rulindo,12980,20.59907195554732,630.1254749733758,42.9,29.6,24.3,3.2,27.5,18.78,Urban,0.5392858829819954,7.070241121639173,0.4094493705860167,Low
Ruhashya,Huye,25967,49.52689842635362,524.3009521101521,35.2,25.7,31.0,8.1,39.1,21.2,Urban,,4.672118565778254,,
Rusatira,Huye,31725,51.48465795641819,616.2029866616816,38.0,22.8,28.8,10.5,39.3,21.2,Urban,,4.031940993918555,,
Rwaniro,Huye,24136,54.11396167697844,446.0216781775213,27.5,30.5,33.8,8.2,42.0,22.27,Urban,,4.370524268121422,,
