Prov_ID,Province,Dist_ID,District,Sect_ID,Name,area_sqkm,join_key,sector,non_poor,vulnerable,moderately_poor,severely_poor,total,count,district,poverty_rate,poverty_index,population_density,poor_population,poor_population_density
2.0,Southern Province,21.0,Nyanza,2105.0,Kigoma,66.16974704090902,kigoma,Kigoma,42.1,26.0,27.0,4.9,100,26579,Huye,31.9,19.47,401.6790329207048,8478.701,128.1356115017048
2.0,Southern Province,21.0,Nyanza,2106.0,Mukingo,76.06699134966729,mukingo,Mukingo,42.9,24.3,25.8,7.0,100,40510,Nyanza,32.8,19.69,532.556885466684,13287.28,174.67865843307234
2.0,Southern Province,21.0,Nyanza,2107.0,Muyira,80.73189826542044,muyira,Muyira,30.3,24.8,31.5,13.4,100,43489,Nyanza,44.9,22.8,538.6842243820677,19526.560999999998,241.86921674754834
2.0,Southern Province,21.0,Nyanza,2108.0,Ntyazo,62.37233834933671,ntyazo,Ntyazo,26.5,22.3,33.0,18.2,100,34064,Nyanza,51.2,24.29,546.1395371969768,17440.768,279.62344304485214
2.0,Southern Province,21.0,Nyanza,2109.0,Nyagisozi,72.85341367126055,nyagisozi,Nyagisozi,30.4,29.2,32.1,8.2,100,28846,Nyanza,40.3,21.790000000000003,395.94575664172703,11624.937999999998,159.56613992661596
2.0,Southern Province,21.0,Nyanza,2109.0,Nyagisozi,72.85341367126055,nyagisozi,Nyagisozi,48.1,18.7,28.5,4.8,100,18554,Nyaruguru,33.3,19.02,254.67578065349107,6178.482,84.80703495761253
2.0,Southern Province,21.0,Nyanza,2110.0,Rwabicuma,47.11413174211777,rwabicuma,Rwabicuma,35.6,26.6,30.9,6.9,100,21952,Nyanza,37.8,20.91,465.9323898858135,8297.856,176.1224433768375
2.0,Southern Province,22.0,Gisagara,2201.0,Gikonko,49.53388800413697,gikonko,Gikonko,32.2,21.9,34.5,11.5,100,28794,Gisagara,46.0,22.55,581.2990088239223,13245.24,267.3975440590043
2.0,Southern Province,22.0,Gisagara,2202.0,Gishubi,61.74160831086805,gishubi,Gishubi,21.3,19.9,38.9,20.0,100,31209,Gisagara,58.9,25.78,505.47760017625654,18382.101,297.72630650381507
2.0,Southern Province,22.0,Gisagara,2203.0,Kansi,41.914055980708596,kansi,Kansi,40.6,22.7,29.7,7.0,100,23524,Gisagara,36.7,20.31,561.2437033253756,8633.308,205.97643912041286
