Dist_ID,District,Name,Prov_ID,Province,Sect_ID,NO2_mean,year,month,date,CO_mean,SO2_mean,O3_mean,AER_mean,poor_percent,avg_deprivation_intensity,poverty_index,NO2_µg_m3,SO2_µg_m3,O3_µg_m3,CO_mg_m3,NO2_EF,CO_EF,SO2_EF,O3_EF,AER_EF,AQI
54,Kayonza,Kabarondo,5,Eastern Province,5403,0.4432054791019629,2022,5,2022-05,-1.4361594476550865,-0.658363788537495,-0.28645649941541146,0.6598731403886593,,,,0.002548985511685164,-0.005272670991449663,-0.0017187389964924687,-0.005028353266102372,0.0002548985511685164,-0.001257088316525593,-0.00013181677478624158,-2.8645649941541143e-05,0.726951354118298,72.69513541182981
54,Kayonza,Kabarondo,5,Eastern Province,5403,1.383487729353871,2022,6,2022-06,-0.7628463276464327,-0.6631098835856769,0.40594710713893145,1.2764836898996508,,,,0.00795678380344645,-0.005310681280166789,0.002435682642833589,-0.0026709157046720727,0.0007956783803446451,-0.0006677289261680182,-0.00013276703200416974,4.059471071389315e-05,0.8340320757971972,83.40320757971972
54,Kayonza,Kabarondo,5,Eastern Province,5403,2.1363595868109675,2022,7,2022-07,0.11691360923236375,0.5204545458497016,0.829242633291868,1.998505989960514,,,,0.012286738073646577,0.004168190344073797,0.004975455799751207,0.00040934377432481363,0.0012286738073646578,0.00010233594358120341,0.00010420475860184492,8.292426332918679e-05,0.9594186249246668,95.94186249246668
54,Kayonza,Kabarondo,5,Eastern Province,5403,0.693090439848878,2022,8,2022-08,0.22841447554116676,-0.42747748638848293,1.4205857561030895,1.5664889480998314,,,,0.003986136392180859,-0.0034235603191137623,0.008523514536618537,0.0007997361824885102,0.00039861363921808593,0.00019993404562212755,-8.558900797784406e-05,0.00014205857561030896,0.8843944517951079,88.43944517951078
54,Kayonza,Kabarondo,5,Eastern Province,5403,0.6854165110763487,2022,9,2022-09,-0.405032052761952,-0.21123787049465007,1.9508981435070403,0.9111292482737069,,,,0.0039420017093278505,-0.0016917512953240285,0.011705388861042242,-0.0014181184747327844,0.00039420017093278506,-0.0003545296186831961,-4.229378238310071e-05,0.00019508981435070402,0.7705845442735738,77.05845442735738
54,Kayonza,Kabarondo,5,Eastern Province,5403,0.8404301738326758,2022,10,2022-10,0.4084904348098432,0.18669172144311758,2.276563482798109,0.7333542531360762,,,,0.004833524037255176,0.0014951673241075678,0.013659380896788654,0.0014302271348779637,0.0004833524037255176,0.0003575567837194909,3.7379183102689195e-05,0.0002276563482798109,0.7397121000851032,73.97121000851033
54,Kayonza,Kabarondo,5,Eastern Province,5403,0.16235368434909428,2022,11,2022-11,0.3197371802261922,-0.34390953108419564,1.4287220218379884,0.5088637385763094,,,,0.0009337366271127284,-0.0027542854570705515,0.008572332131027932,0.0011194798022669554,9.337366271127284e-05,0.00027986995056673885,-6.885713642676379e-05,0.00014287220218379886,0.700727028668159,70.07270286681589
54,Kayonza,Kabarondo,5,Eastern Province,5403,-0.40974729415372035,2022,12,2022-12,-0.5486379145580854,0.3133361887987202,0.895767251986727,0.3978521932106397,,,,-0.002356559125501584,0.00250943120204175,0.005374603511920362,-0.0019209184983464966,-0.0002356559125501584,-0.00048022962458662416,6.273578005104375e-05,8.95767251986727e-05,0.6814487396381171,68.14487396381172
54,Kayonza,Kabarondo,5,Eastern Province,5403,-1.64804754031211,2023,1,2023-01,-0.26026885291799395,-1.1828177887285107,0.04536862815551105,0.9488409962512863,,,,-0.009478333416220022,-0.00947289196547946,0.0002722117689330663,-0.0009112663212791264,-0.0009478333416220022,-0.0002278165803197816,-0.00023682229913698648,4.536862815551105e-06,0.7771335746014112,77.71335746014113
54,Kayonza,Kabarondo,5,Eastern Province,5403,-1.6430687155078194,2023,2,2023-02,0.22679681089649212,-1.8914440989356023,0.12122299850190828,0.9938333168865217,,,,-0.009449698950064344,-0.015148102927350504,0.0007273379910114497,0.000794072334151343,-0.0009449698950064345,0.00019851808353783576,-0.00037870257318376257,1.2122299850190828e-05,0.7849469507550471,78.49469507550471
54,Kayonza,Kabarondo,5,Eastern Province,5403,-1.490927469883629,2023,3,2023-03,0.2890911889878287,-1.3835806790415455,0.8277318779570558,0.5988544661308901,,,,-0.008574696611168222,-0.011080751763273977,0.004966391267742335,0.0010121805254436353,-0.0008574696611168221,0.00025304513136090883,-0.0002770187940818494,8.277318779570558e-05,0.7163548379208482,71.63548379208481
54,Kayonza,Kabarondo,5,Eastern Province,5403,-1.8055577959154625,2023,4,2023-04,-1.9819297623294339,-0.17414613136366278,0.6340031841373706,0.26530390118456887,,,,-0.010384214273758805,-0.001394692829558734,0.003804019104824223,-0.0069392315803559305,-0.0010384214273758804,-0.0017348078950889826,-3.4867320738968354e-05,6.340031841373705e-05,0.6584303745149235,65.84303745149235
54,Kayonza,Kabarondo,5,Eastern Province,5403,-0.6109813853298888,2023,5,2023-05,-1.4731840710088744,0.27957970917513486,0.3797871982901303,0.9131705655852156,,,,-0.0035139066923785224,0.0022390839958563607,0.0022787231897407815,-0.005157985728619821,-0.00035139066923785224,-0.0012894964321549553,5.597709989640902e-05,3.797871982901303e-05,0.7709390398803476,77.09390398803477
54,Kayonza,Kabarondo,5,Eastern Province,5403,0.7212511305294256,2023,6,2023-06,-0.841981015343656,-1.9159176479078297,0.14221300819534274,1.016941948657301,,,,0.0041480955644573585,-0.015344105462681829,0.0008532780491720564,-0.002947986029971976,0.0004148095564457359,-0.000736996507492994,-0.00038360263656704574,1.4221300819534272e-05,0.7889600007571747,78.89600007571747
54,Kayonza,Kabarondo,5,Eastern Province,5403,1.1155510813756313,2023,7,2023-07,-0.7263153710319308,0.16871207630006974,0.0824867349041724,1.8456650642574477,,,,0.0064158131567616,0.0013511728410681833,0.0004949204094250344,-0.0025430116928255478,0.0006415813156761599,-0.0006357529232063869,3.3779321026704585e-05,8.24867349041724e-06,0.9328762366386818,93.28762366386817
54,Kayonza,Kabarondo,5,Eastern Province,5403,0.8146772173045538,2023,8,2023-08,0.41049386669210614,-0.1632659046917903,0.8981823992923852,1.1381628126178203,,,,0.0046854123460228145,-0.0013075558142003755,0.005389094395754311,0.0014372416507557365,0.00046854123460228145,0.00035931041268893413,-3.268889535500939e-05,8.981823992923852e-05,0.8100112422672758,81.00112422672758
